"Doc","player_experience_review_matrix.csv","Open in Excel / Google Sheets. UTF-8. Quote marks in cells are doubled per CSV rules."
"Purpose","Product + copy review","Aligns user-facing messages, XP numbers shown vs granted, sounds, haptics, and Dex feedback so the app feels consistent and review-worthy."
"Companion","docs/game_rewards_matrix.csv","Technical wiring (code paths, overlap notes)."
"Last_updated","2026-03-28","Re-verify after changing GameContext.tsx, CelebrationHost children, PaymentSuccessEffects, or onboarding task XP."

"Section","Action_ID","User_trigger","XP_code_truth","UI_shows_XP_or_copy","Headline_or_title","Body_subcopy_or_toast","Sound_primary","Sound_secondary","Dex_state","Dex_vocal","Haptics","Modal_or_overlay","Consistency_review_notes","Source_files"
"Core_XP","LOG_PAYMENT_first","First logged payment ever","50 + 100 bonus = 150 total","FirstPaymentCelebration pill: +100 Bonus XP (base 50 not on card)","First Step Taken!","Amazing! You just took your first step toward debt freedom! Keep going!","milestone","","celebrating","approval","none in GameContext; plan/debt use Success","FirstPaymentCelebration full-screen","Modal says +100 only; total award is 150 - consider saying +150 or 50+100 breakdown","GameContext awardXp; FirstPaymentCelebration.tsx"
"Core_XP","LOG_PAYMENT_normal","Log payment after first","50","PaymentSuccessEffects float often shows 50; bonus path shows 100","(no modal)","Floating +XP near Dex","payment_logged","variable_bonus if ~15% bonus","happy","approval","Success on plan/debt close","PaymentEffectsOverlay optional","payment_logged may double with plan/debt handler - known overlap","GameContext; plan.tsx; debt/[id].tsx; PaymentSuccessEffects.tsx"
"Core_XP","LOG_PAYMENT_level_up","Payment pushes level","50 (+ bonus if first)","LevelUpOverlay: +N XP - well done!","NICE WORK","Level name + LEVEL_SUB[line] per level","level_up","","celebrating","approval","none in awardXp","LevelUpOverlay","High polish; LEVEL_SUB only defined for levels 2-10 then fallback string","GameContext; LevelUpOverlay.tsx; constants/levelNames"
"Core_XP","PAY_OFF_DEBT","Balance to zero","500","Debt overlay + stats","DEBT FREE","{debtName} is done!","debt_paid_off","xp_earned per stat line","celebrating","approval","Success on debt detail","DebtClearedOverlay","Strong moment; iOS bypasses silent mode for debt_paid_off","GameContext; DebtClearedOverlay.tsx"
"Core_XP","grantBonusXp","Any positive grant","variable","LevelUp if crosses threshold only","NICE WORK (if level up)","same as level-up path","level_up if level up","","celebrating","approval","varies by caller","LevelUpOverlay if threshold","No toast if no level-up - users may miss small grants","GameContext grantBonusXp"
"Streak","daily_streak_tick","recordPaymentForStreak after payment or logDailyAction","+25 DAILY_STREAK slice","Usually not a standalone headline","(none)","Streak count updates","streak_maintained OR milestone OR level_up","","see below","see below","none in recordPaymentForStreak core","none unless milestone/level","Bundled with payment flow","GameContext recordPaymentForStreak"
"Streak","streak_milestone_3","Hit day 3 first time","25 + 75 bonus = 100","Modal: +75 Bonus XP pill","3 Day Streak! (big number + label)","You're building real momentum!","milestone","","celebrating","approval","none","StreakMilestoneCelebration","Message from STREAK_MILESTONE_MESSAGES","GameContext; StreakMilestoneCelebration.tsx"
"Streak","streak_milestone_7","Hit day 7 first time","25 + 150","+150 Bonus XP","7 Day Streak!","One full week - you're unstoppable!","milestone","","celebrating","approval","none","StreakMilestoneCelebration","",""
"Streak","streak_milestone_14","Hit day 14 first time","25 + 300","+300 Bonus XP","14 Day Streak!","Two weeks of dedication. Amazing!","","","","","","","",""
"Streak","streak_milestone_30","Hit day 30 first time","25 + 500","+500 Bonus XP","30 Day Streak!","30 days - a new habit is born!","","","","","","","",""
