section,item,xp_points,band_or_trigger,dex_presentation,celebration_or_sound,motivation_what_player_feels,detail_notes,source_file
GUIDE,How_to_use_this_sheet,,,,"In Excel/Google Sheets: turn on Filter; filter column ""section"". Shipped = all except PROPOSAL_. XP column blank when not a point grant.",,,
GUIDE,Column_meaning,,,,xp_points = total XP for that row when numeric. band_or_trigger = streak day level XP range or trigger summary.,,,
XP_AND_POINTS,LOG_PAYMENT,50,Each logged payment (after onboarding flows),happy then idle,payment_logged.wav,Small win every time you log reality,First payment adds +100 below; plan/debt flows also grantBonusXp +10 and sometimes +50 path,multiple
XP_AND_POINTS,LOG_PAYMENT_first_payment_bonus,100,First LOG_PAYMENT only,celebrating,milestone.wav,Big dopamine on first log,Stacks with 50 → 150 total first time,GameContext awardXp
XP_AND_POINTS,PAY_OFF_DEBT,500,Debt balance to zero,celebrating,debt_paid_off.wav,Major milestone — one enemy defeated,,GameContext XP_REWARDS
XP_AND_POINTS,HIT_MILESTONE,200,Plan/debt milestone hit,celebrating or level_up if crosses threshold,level_up or payment flow,Progress is visible,,GameContext XP_REWARDS
XP_AND_POINTS,DAILY_STREAK,25,New calendar streak day (recordPaymentForStreak),celebrating on milestone else idle,milestone / streak_maintained,Daily identity: I showed up,,GameContext recordPaymentForStreak
XP_AND_POINTS,DAILY_SAVING,20,Daily action checklist,,,Habit reinforcement,,GameContext; DailyActionList
XP_AND_POINTS,NO_SPEND,15,Daily action checklist,,,Habit reinforcement,,GameContext; DailyActionList
XP_AND_POINTS,SOCIAL_SHARE,10,Daily action checklist,,,Light social accountability,,GameContext; DailyActionList
XP_AND_POINTS,BONUS_CHECK,10,Daily action bonus checklist,,,Extra checklist completion,,GameContext; DailyActionList
XP_AND_POINTS,COMPLETE_ONBOARDING,100,Defined but unused in awardXp callsites,n/a,n/a,Reserved constant,No awardXp('COMPLETE_ONBOARDING') found in repo,GameContext XP_REWARDS
XP_AND_POINTS,plan_debt_grantBonusXp,10,After LOG_PAYMENT in plan/debt UI,happy / surprised path,,Small stack on top of 50+ streak math,~15% bonus-day UI shows +100 while code grantBonusXp(50),plan.tsx debt/[id].tsx
XP_AND_POINTS,streak_shield_purchase,-500,Buy shield when totalXp >= 500,celebrating,level_up.wav,Insurance against one miss,Sets streakShield true,GameContext buyStreakShield
STREAK_BONUS_XP,streak_day_3,75,First time streak hits 3 (plus +25 daily),celebrating,milestone.wav,Early momentum validated,Message: You're building real momentum!,GameContext STREAK_MILESTONES
STREAK_BONUS_XP,streak_day_7,150,First hit day 7,celebrating,milestone.wav,One week proof,One full week - you're unstoppable!,GameContext
STREAK_BONUS_XP,streak_day_14,300,First hit day 14,celebrating,milestone.wav,Habit forming,Two weeks of dedication. Amazing!,GameContext
